artist_name,track_name,release_date,genre,len
mukesh,mohabbat bhi jhoothi,1950,Pop,95
frankie laine,i believe,1950,Pop,51
johnnie ray,cry,1950,Pop,24
pérez prado,patricia,1950,Pop,54
giorgos papadopoulos,apopse eida oneiro,1950,Pop,48
perry como,round and round (with mitchell ayres and his orchestra & the ray charles singers),1950,Pop,98
freestyle,opm medley: when i met you,1950,Pop,179
johnny mathis,it's not for me to say,1950,Pop,21
stélios kazantzídis,klapse me mana klapse me,1950,Pop,30
stélios kazantzídis,finito la mouzika,1950,Pop,61
liva weel,"drømmer man om den, vågner..",1951,Pop,113
the chordettes,carolina moon,1951,Pop,38
frankie laine,necessary evil,1951,Pop,173
ghantasala,kanugona galano,1951,Pop,73
les paul,the carioca,1951,Pop,60
les paul,chicken reel,1951,Pop,199
les paul,blue skies,1951,Pop,43
les paul,dark eyes,1951,Pop,182
asha bhosle,kotha mukunda,1952,Pop,48
asha bhosle,awaz deta hai sola ka din,1952,Pop,148
mohammed rafi,jahan men log sachhe ashikon ko,1952,Pop,84
ghantasala,avanee nee pathi,1952,Pop,104
ghantasala,ee jagamantha natika,1952,Pop,41
les paul,smoke rings,1952,Pop,35
mukesh,hum tujhse mohabbat kar ke,1952,Pop,73
lata mangeshkar,paas nahin aaiye haath na lagaiye,1952,Pop,18
lata mangeshkar,main na janoon,1952,Pop,38
asha bhosle,gullyachi shapath,1952,Pop,127
lata mangeshkar,judai ki khabar hoti agar,1952,Pop,78
lata mangeshkar,maagata maagata janm gele,1953,Pop,52
lata mangeshkar,chupke chupke (from ''paying guest''),1953,Pop,32
asha bhosle,chahe kitna mujhe tum bulao ji,1953,Pop,15
asha bhosle,tu bol na bol,1953,Pop,79
mukesh,raat andheri door savera,1953,Pop,83
ghantasala,thunintha pin,1953,Pop,87
les paul,i'm sitting on top of the world,1953,Pop,31
les paul,the world is waiting for the sunrise,1953,Pop,25
t. m. soundararajan,ethanai periya,1953,Pop,74
talat mahmood,ansoo to nahin hai ankhon men,1953,Pop,104
andy williams,it's the most wonderful time of the year,1953,Pop,79
lata mangeshkar,chandan ka palna resham ko dori,1954,Pop,19
lata mangeshkar,le chal ri nindiya le chal hamen,1954,Pop,64
frankie laine,after you've gone,1954,Pop,99
asha bhosle,mere hamsafar tujhe kya khabar,1954,Pop,20
sven-bertil taube,viljen i veta (would you like to know?),1954,Pop,53
bobby vinton,blue velvet,1954,Pop,46
los hermanos arriagada,poema,1954,Pop,55
the drifters,the bells of st. mary's,1954,Pop,32
the chordettes,for me and my gal,1954,Pop,18
harry belafonte,mark twain,1954,Pop,64
harry belafonte,the next big river,1954,Pop,112
lata mangeshkar,sitaron ki mehfil saji,1954,Pop,52
a. m. rajah,gopiparivrito,1954,Pop,73
jonah jones,you're the cream in my coffee,1954,Pop,33
lata mangeshkar,kabhi khamosh rahte hain,1955,Pop,73
mohammed rafi,khanke to khanke,1955,Pop,35
johnnie ray,here am i,1955,Pop,25
les paul,brazil,1955,Pop,25
les paul,"baby, won't you please come home",1955,Pop,63
frankie laine,jezebel,1955,Pop,59
bill haley & his comets,two hound dogs,1955,Pop,156
les paul,sleep,1955,Pop,51
lata mangeshkar,mera dil yeh pukare aaja,1955,Pop,40
ted heath,to you my love,1955,Pop,135
ted heath,believe in me,1956,Pop,121
ted heath,take the “a” train,1956,Pop,199
lata mangeshkar,pahuni raghunandan savala,1956,Pop,46
bill haley & his comets,come rock with me,1956,Pop,103
lata mangeshkar,antar mantar jantar,1956,Pop,45
lata mangeshkar,kahan se yeh sholon ka toofan aaya,1956,Pop,41
the platters,temptation,1956,Pop,19
harry belafonte,unchained melody,1956,Pop,37
the platters,on my word of honor,1956,Pop,32
pete yorn,just my imagination (running away with me),1956,Pop,76
the clovers,don't you know i love you,1956,Pop,25
johnny mathis,"love, your magic spell is everywhere",1956,Pop,30
the platters,heart of stone,1956,Pop,49
the platters,have mercy,1956,Pop,50
the platters,you've changed,1956,Pop,39
harry belafonte,i do adore her,1956,Pop,78
jerry vale,"ciao, ciao, bambina",1956,Pop,35
jerry vale,non dimenticar,1956,Pop,40
jerry vale,al di la,1956,Pop,26
harry belafonte,matilda,1956,Pop,92
the clovers,devil or angel,1956,Pop,35
harry belafonte,hosanna,1956,Pop,88
jerry vale,volare (nel blu dipinto di blu),1956,Pop,41
the platters,why should i,1956,Pop,28
johnny mathis,in other words (fly me to the moon),1956,Pop,21
lavern baker,i'll never be free,1956,Pop,37
the platters,remember when,1956,Pop,39
the clovers,love love love,1956,Pop,58
johnny mathis,it might as well be spring,1956,Pop,68
the platters,at your beck and call,1956,Pop,32
the platters,september in the rain,1956,Pop,36
the platters,i give you my word,1956,Pop,28
jerry vale,more,1956,Pop,46
jerry vale,summertime in venice,1956,Pop,31
the clovers,here goes a fool,1956,Pop,156
t. m. soundararajan,chinna kelbyaadve nanna ppuraana,1956,Pop,57
frankie laine,remember me (the girl in the wood),1956,Pop,71
groovie ghoulies,blood beach,1957,Pop,38
ricky nelson,am i blue?,1957,Pop,24
harry belafonte,don't ever love me,1957,Pop,42
harry belafonte,angelique-o,1957,Pop,88
ricky nelson,true love,1957,Pop,14
johnny mathis,by myself,1957,Pop,68
johnny mathis,warm,1957,Pop,40
lata mangeshkar,panchhi banoon udti phiroon,1957,Pop,59
billy vaughn,miss you,1957,Pop,44
eddie cochran,one kiss,1957,Pop,25
johnny mathis,i'm glad there is you,1957,Pop,41
johnny mathis,"baby, baby, baby",1957,Pop,73
eddie cochran,undying love,1957,Pop,18
ricky nelson,your true love,1957,Pop,37
harry belafonte,cu cu ru cu cu paloma,1957,Pop,54
harry belafonte,cordelia brown,1957,Pop,42
andy williams,dear heart,1957,Pop,40
eddie cochran,completely sweet,1957,Pop,73
eddie cochran,sittin' in the balcony,1957,Pop,39
andy williams,a time for us,1957,Pop,36
the chordettes,soft sands,1957,Pop,45
